'Blueberries' Buckshot | NSWC SEAL: 1672.62 RUB
AUG | Plague (Battle-Scarred): 96.05 RUB
AUG | Plague (Factory New): 372.76 RUB
AUG | Plague (Field-Tested): 107.00 RUB
AUG | Plague (Minimal Wear): 231.53 RUB
AUG | Plague (Well-Worn): 127.38 RUB
AUG | Radiation Hazard (Battle-Scarred): 333.91 RUB
AUG | Radiation Hazard (Factory New): 900.00 RUB
AUG | Radiation Hazard (Field-Tested): 417.24 RUB
AUG | Radiation Hazard (Minimal Wear): 520.00 RUB
AUG | Radiation Hazard (Well-Worn): 350.00 RUB
AUG | Random Access (Battle-Scarred): 72.28 RUB
AUG | Random Access (Factory New): 547.02 RUB
AUG | Random Access (Field-Tested): 63.55 RUB
AUG | Random Access (Minimal Wear): 134.24 RUB
AUG | Random Access (Well-Worn): 100.00 RUB
AUG | Ricochet (Battle-Scarred): 15.91 RUB
AUG | Ricochet (Factory New): 79.67 RUB
AUG | Ricochet (Field-Tested): 16.59 RUB
AUG | Ricochet (Minimal Wear): 31.94 RUB
AUG | Ricochet (Well-Worn): 24.70 RUB
AUG | Sand Storm (Factory New): 9976.63 RUB
AUG | Sand Storm (Field-Tested): 7000.00 RUB
AUG | Sand Storm (Minimal Wear): 8942.47 RUB
AUG | Snake Pit (Battle-Scarred): 8.44 RUB
AUG | Snake Pit (Factory New): 17.03 RUB
AUG | Snake Pit (Field-Tested): 4.19 RUB
AUG | Snake Pit (Minimal Wear): 7.44 RUB
AUG | Snake Pit (Well-Worn): 100.00 RUB
AUG | Spalted Wood (Battle-Scarred): 329.22 RUB
AUG | Spalted Wood (Factory New): 407.65 RUB
AUG | Spalted Wood (Field-Tested): 202.37 RUB
AUG | Spalted Wood (Minimal Wear): 218.03 RUB
AUG | Spalted Wood (Well-Worn): 262.47 RUB
AUG | Steel Sentinel (Battle-Scarred): 5.76 RUB
AUG | Steel Sentinel (Factory New): 61.32 RUB
AUG | Steel Sentinel (Field-Tested): 6.95 RUB
AUG | Steel Sentinel (Minimal Wear): 14.99 RUB
AUG | Steel Sentinel (Well-Worn): 10.06 RUB
AUG | Storm (Battle-Scarred): 3.01 RUB
AUG | Storm (Factory New): 74.74 RUB
AUG | Storm (Field-Tested): 1.34 RUB
AUG | Storm (Minimal Wear): 2.99 RUB
AUG | Storm (Well-Worn): 2.63 RUB
AUG | Stymphalian (Battle-Scarred): 414.57 RUB
AUG | Stymphalian (Factory New): 1148.17 RUB
AUG | Stymphalian (Field-Tested): 405.68 RUB
AUG | Stymphalian (Minimal Wear): 528.80 RUB
AUG | Stymphalian (Well-Worn): 443.36 RUB
AUG | Surveillance (Battle-Scarred): 49.06 RUB
AUG | Surveillance (Factory New): 75.97 RUB
AUG | Surveillance (Field-Tested): 47.81 RUB
AUG | Surveillance (Minimal Wear): 51.45 RUB
AUG | Surveillance (Well-Worn): 47.61 RUB
AUG | Sweeper (Battle-Scarred): 0.50 RUB
AUG | Sweeper (Factory New): 2.01 RUB
AUG | Sweeper (Field-Tested): 0.51 RUB
